PDB,TM
2GKTI1,0
2GNXA1,0
2GO8A1,0
2GPNA1,0
2GQVA1,0
2GS5A1,0
2GTGA1,0
2GTSA1,0
2GXGA1,0
2GYZA1,0
2GZQA1,0
2GZRA1,0
2H09A1,0
2H14A1,0
2H2ZA1,0
2H30A1,0
2H7OA1,0
2H8EA1,0
2H8OA1,0
2HC8A1,0
2HDZA1,0
2HE7A1,0
2HH6A1,0
2HIVA1,0
2HL9A1,0
2HLRA1,0
2HLYA1,0
2HNGA1,0
2HOQA1,0
2HP7A1,0
2HQVA1,0
2HRZA1,0
2HSGA1,0
2HUJA1,0
2HWXA1,0
2HY7A1,0
2HZ7A1,0
2HZRA1,0
2I49A1,0
2I5DA1,0
2I5HA1,0
2I6IA1,0
2I6VA1,0
2I6XA1,0
2I6YA1,0
2I7XA1,0
2I88A1,1
2I9IA1,0
2IAIA1,0
2IBLA1,0
2ICTA1,0
2IDCA1,0
2IE8A1,0
2IGDA1,0
2II0A1,0
2IIAA1,0
2ILAA1,0
2ILRA1,0
2IM9A1,0
2IN0A1,0
2IOSA1,0
2IPQX1,1
2IQTA1,0
2ISBA1,0
2IU1A1,0
2IVYA1,0
2IWRA1,0
2IXMA1,0
2IY9A1,0
2J49A1,1
2J4OA1,0
2J6BA1,0
2J70A1,0
2J71A1,0
2J8BA1,0
2J9VA1,0
2JA4A1,0
2JA9A1,0
2JAYA1,0
2JCPA1,0
2JDWA1,0
2JEOA1,0
2JJFA1,0
2JKFA1,0
2JLIA1,0
2JLJA1,0
2LAOA1,0
2LISA1,0
2NLSA1,0
2NMLA1,0
2NMUA1,0
2NQ5A1,0
2NR7A1,0
2NRJA1,0
2NRKA1,0
2NRRA1,0
2NSCA1,0
2NSNA1,0
2NVPA1,0
2NWDX1,0
2NWVA1,0
2NX2A1,0
2NXCA1,0
2NYCA1,0
2NYFA1,0
2NYVA1,0
2O0KA1,0
2O0QA1,0
2O4DA1,0
2O6XA1,0
2O71A1,0
2O8PA1,0
2OA2A1,0
2OB5A1,0
2OBIA1,0
2OCHA1,0
2ODLA1,0
2ODTX1,0
2ODUA1,0
2OEBA1,0
2OF3A1,0
2OF7A1,0
2OG3A1,0
2OG4A1,0
2OGQA1,0
2OI8A1,0
2OIXA1,0
2OKTA1,0
2OL9A1,0
2OLSA1,0
2OLXA1,0
2OMMA1,0
2ONVA1,0
2ONWX1,0
2ONXA1,0
2OP6A1,0
2OPJA1,0
2OPWA1,0
2OQWA1,0
2OSAA1,0
2OUJA1,0
2OVAA1,0
2OVCA1,0
2OY7A1,0
2OYZA1,0
2P0LA1,0
2P1WA1,0
2P25A1,0
2P4DA1,0
2P4HX1,0
2P52A1,0
2P5DA1,0
2P5KA1,0
2P65A1,0
2P84A1,0
2P8TA1,0
2P9BA1,0
2PAWA1,0
2PB7A1,0
2PBOA1,0
2PCYA1,0
2PETA1,0
2PFTA1,0
2PGEA1,0
2PGGA1,0
2PGSA1,0
2PGXA1,0
2PHCB1,0
2PHZA1,0
2PICA1,0
2PIMA1,0
2PJDA1,0
2PKOA1,0
2PLCA1,0
2PLNA1,0
2PM1A1,0
2PMRA1,0
2PNDA1,0
2PNEA1,0
2PNMA1,0
2PO4A1,0
2PQ6A1,0
2PSBA1,0
2PSTX1,0
2PTDA1,0
2PTHA1,0
2PTSA1,0
2PTVA1,0
2PWQA1,0
2PZ1A1,0
2Q07A1,0
2Q12A1,0
2Q13A1,0
2Q34A1,0
2Q43A1,0
2Q4NA1,0
2Q4UA1,0
2Q5XA1,0
2Q82A1,0
2Q99A1,0
2Q9VA1,0
2QBVA1,0
2QDJA1,0
2QEVA1,0
2QF5A1,0
2QFFA1,0
2QGMA1,0
2QGOA1,0
2QHTA1,0
2QK0A1,0
2QK1A1,0
2QNIA1,0
2QOLA1,0
2QPWA1,0
2QQ5A1,0
2QQYA1,0
2QR6A1,0
2QT4A1,0
2QTIA1,0
2QTPA1,0
2QV2A1,0
2QV3A1,0
2QVGA1,0
2QVKA1,0
2QVLA1,0
2QVOA1,0
2QVTA1,0
2QWTA1,0
2QY9A1,0
2QYBA1,0
2QYWA1,0
2QZQA1,0
2QZUA1,0
2R0SA1,0
2R18A1,0
2R2YA1,0
2R39A1,0
2R4QA1,0
2R51A1,0
2R57A1,0
2R60A1,0
2R6QA1,0
2RA1A1,0
2RA8A1,0
2RAEA1,0
2RB8A1,0
2RCIA1,0
2REAA1,0
2RERA1,0
2RFAA1,0
2RFRA1,0
2RGYA1,1
2RH3A1,0
2RIGA1,0
2RIKA1,0
2RIMA1,0
2RISA1,0
2RJDA1,0
2RJLA1,0
2RK3A1,0
2RK5A1,0
2RKHA1,0
2RKQA1,0
2RKTA1,0
2SGAA1,0
2SILA1,0
2TGIA1,0
2TS1A1,0
2UVGA1,0
2UYOA1,0
2V14A1,0
2V1LA1,0
2V4UA1,0
2V4XA1,0
2V6CA1,0
2V75A1,0
2V81A1,0
2VANA1,0
2VC8A1,0
2VFBA1,0
2VFYA1,0
2VGAA1,0
2VGEA1,0
2VH7A1,0
2VJWA1,0
2VKYB1,0
2VO8A1,0
2VQ4A1,0
2VQCA1,0
2VTYA1,0
2VY6A1,0
2VY8A1,0
2W0GA1,0
2W0IA1,0
2W1RA1,0
2W2RA1,0
2W61A1,1
2WA0A1,0
2WB3A1,0
2WB8A1,0
2WBNA1,0
2WC7A1,0
2WH7A1,0
2WJ5A1,0
2WKDA1,0
2WMFA1,0
2WN4A1,1
2WNKA1,0
2WOZA1,0
2WP7A1,0
2WPGA1,0
2WTBA1,0
2WUXA1,0
2WWEA1,0
2WZ9A1,0
2X0CA1,0
2X25B1,0
2X29A1,0
2X35A1,0
2X3GA1,1
2X3MA1,0
2X4JA1,0
2X4LA1,0
2X5PA1,0
2X5YA1,0
2X8XX1,0
2X9YA1,0
2X9ZA1,0
2XBGA1,0
2XF6A1,0
2XGVA1,0
2XHCA1,0
2XJ4A1,0
2XMZA1,0
2XTPA1,0
2XWSA1,0
2XZZA1,0
2Y29A1,0
2Y2TA1,0
2Y2ZA1,0
2Y90A1,0
2Y9FA1,0
2YD5A1,0
2YGSA1,0
2YLFA1,0
2YLHA1,0
2YMOA1,0
2YV4A1,0
2YVNA1,0
2YVQA1,0
2YVTA1,0
2YWEA1,0
2YWJA1,0
2YX0A1,0
2YX8A1,0
